compound_chembl_id,standard_inchi_key,smiles,hERG_blocker,pIC50,median_pIC50_equiv,std_pIC50_equiv,high_discordance,label_conflict,label_source,best_evidence_tier,n_measurements,n_exact_potency,n_pct_inhibition,n_censored,n_activator_rows,endpoints_used,source
CHEMBL231294,BVGLFSCRZQKKNX-OTYXRUKQSA-N,N[C@H]1CN(c2ccn3cnnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,0,4.0,4.0,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4547037,BVLGWCJUWAMZJB-UHFFFAOYSA-N,COc1ccc(N(CCCCc2ccnc(N)c2)C(=O)NCCCn2cncc2C)cc1OC,0,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
BVLLVNWURWCCQW-TZMCWYRMSA-N,BVLLVNWURWCCQW-TZMCWYRMSA-N,CN[C@@H]1CC[C@@H](Oc2cncc(OC)c2-c2cc(Nc3cnc(C#N)cn3)n[nH]2)C1,1,5.06,5.06,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
CHEMBL1455226,BVLXBSJBJYWXAG-FMIVXFBMSA-N,Cc1ccccc1N1C(=O)/C(=C/c2ccco2)C(=O)NC1=S,1,6.149,6.149,,False,False,exact_potency,1,1,1,0,0,0,EC50,chembl
CHEMBL257901,BVMLPMCCWDUGDH-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1,0,4.9,4.9,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4791586,BVNDJEHETZIZCV-UHFFFAOYSA-N,O=C1NCCC12CCN(c1c(Cl)cncc1-c1cc3ccccc3s1)CC2,0,4.833,4.833,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3421923,BVNQLJQXIMYWSD-UHFFFAOYSA-N,Clc1ccc2c(/N=C(\NCCCN3CCCCC3)c3ccccc3)ccnc2c1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL2147222,BVNSJFPYBJKGTL-UHFFFAOYSA-N,COc1ncc(-c2cccc(F)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,1,5.1,5.1,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL5077679,BVPDPEVDQVJRBH-UHFFFAOYSA-N,O=C(NCCN1CC2(COC2)C1)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL4545398,BVPOOCGZNPNMLK-UHFFFAOYSA-N,COC(=O)C1CCN(C(=O)c2ccc3nc(N)sc3c2)CC1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL325109,BVPWJMCABCPUQY-UHFFFAOYSA-N,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,1,6.22,6.22,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4130158,BVPYMBDFKWACIV-UHFFFAOYSA-N,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCC1CCNCC1,0,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL4743137,BVSIZDQHJCGHDR-UHFFFAOYSA-N,CC(C)(O)C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NCC1CCNCC1,0,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
BVSMFFDCBFJRGZ-UHFFFAOYSA-N,BVSMFFDCBFJRGZ-UHFFFAOYSA-N,CC(=O)NC1CCN(c2ccc(-c3nc4ccncc4n3-c3ccc(Cl)cc3)cn2)CC1,0,,,,False,False,censored_rescue,3,3,0,0,3,0,IC50,bindingdb
BVUIFIBGHGTJFI-OAHLLOKOSA-N,BVUIFIBGHGTJFI-OAHLLOKOSA-N,Cc1cc(F)ccc1Oc1cc(C(F)(F)F)c(Cl)cc1C(=O)Nc1ccnc(OC[C@H](O)CO)c1,0,4.652,4.652,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
